"Arizona Department of Corrections","...2","...4","...6","...7","...8","...10","...12","...14","...15","...16","...18","...20","...22"
"Child Molestation","1.1%","0.1%","0.9%",NA,NA,"1.2%","0.1%","1.0%",NA,NA,"4.4%","0.4%","4.0%"
"Criminal Damage","0.6%","0.2%","0.6%",NA,NA,"0.6%","0.3%","0.5%",NA,NA,"0.4%","0.2%","0.4%"
"Domestic Violence","1.0%","0.6%","1.0%",NA,NA,"0.9%","0.4%","0.8%",NA,NA,"0.4%","0.2%","0.4%"
"Drug Offense","33.0%","42.9%","34.6%",NA,NA,"31.5%","42.9%","33.2%",NA,NA,"18.9%","32.8%","20.3%"
"DUI","7.7%","9.4%","8.0%",NA,NA,"7.9%","9.8%","8.2%",NA,NA,"3.1%","4.0%","3.2%"
"Escape","0.2%","0.2%","0.2%",NA,NA,"0.3%","0.2%","0.3%",NA,NA,"0.4%","0.5%","0.4%"
"Forgery","1.2%","3.1%","1.5%",NA,NA,"1.3%","3.5%","1.6%",NA,NA,"0.6%","2.7%","0.8%"
"Fraud","0.7%","1.7%","0.9%",NA,NA,"0.6%","1.6%","0.8%",NA,NA,"0.5%","1.5%","0.6%"
"Identity Theft","0.9%","2.3%","1.1%",NA,NA,"0.9%","3.0%","1.2%",NA,NA,"0.7%","3.3%","1.0%"
"Kidnapping","1.4%","0.2%","1.2%",NA,NA,"1.5%","0.3%","1.4%",NA,NA,"3.4%","1.0%","3.2%"
"Manslaughter/Neg. Homicide","0.8%","1.2%","0.8%",NA,NA,"0.6%","0.4%","0.6%",NA,NA,"1.8%","2.7%","1.9%"
"Murder","1.2%","0.6%","1.1%",NA,NA,"0.8%","0.5%","0.8%",NA,NA,"8.3%","5.8%","8.1%"
"Other","4.4%","5.0%","4.5%",NA,NA,"4.3%","4.8%","4.4%",NA,NA,"4.1%","5.4%","4.2%"
"Rape/Sexual Assault","0.4%","0.1%","0.4%",NA,NA,"0.4%","0.0%","0.4%",NA,NA,"1.5%","0.1%","1.4%"
"Robbery","4.6%","2.5%","4.2%",NA,NA,"4.7%","2.3%","4.3%",NA,NA,"9.3%","5.4%","8.9%"
"Sex Offense","4.0%","0.6%","3.5%",NA,NA,"3.4%","0.9%","3.0%",NA,NA,"8.2%","1.5%","7.5%"
"Theft","4.1%","7.6%","4.7%",NA,NA,"4.1%","7.2%","4.6%",NA,NA,"1.8%","5.7%","2.2%"
"Trafficking in Stolen Property","1.7%","1.4%","1.6%",NA,NA,"1.9%","1.7%","1.9%",NA,NA,"1.4%","1.6%","1.4%"
"Weapons Offense","4.8%","1.5%","4.3%",NA,NA,"5.2%","1.5%","4.6%",NA,NA,"5.0%","1.8%","4.6%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"NOTE: Sections in bold with an astrisk have missing data. Percentages are calculated among non-missing data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
